Title,[0],[0 1],[0 2],[0 3],[0 4],[0 5],[0 6],[0 1 2],[0 1 3],[0 1 4],[0 1 5],[0 1 6],[0 2 4],[0 2 5],[0 2 6],[0 2 7],[0 3 6],[0 3 7],[0 4 8],[0 1 2 3],[0 1 2 4],[0 1 2 5],[0 1 2 6],[0 1 2 7],[0 1 3 4],[0 1 3 5],[0 1 3 6],[0 1 3 7],[0 1 4 5],[0 1 4 6],[0 1 4 7],[0 1 4 8],[0 1 5 6],[0 1 5 7],[0 1 5 8],[0 1 6 7],[0 2 3 5],[0 2 3 6],[0 2 3 7],[0 2 4 6],[0 2 4 7],[0 2 4 8],[0 2 5 7],[0 2 5 8],[0 2 6 8],[0 3 4 7],[0 3 5 8],[0 3 6 9],[0 1 2 3 4],[0 1 2 3 5],[0 1 2 3 6],[0 1 2 3 7],[0 1 2 4 5],[0 1 2 4 6],[0 1 2 4 7],[0 1 2 4 8],[0 1 2 5 6],[0 1 2 5 7],[0 1 2 5 8],[0 1 2 6 7],[0 1 2 6 8],[0 1 3 4 6],[0 1 3 4 7],[0 1 3 4 8],[0 1 3 5 6],[0 1 3 5 7],[0 1 3 5 8],[0 1 3 6 7],[0 1 3 6 8],[0 1 3 6 9],[0 1 3 7 8],[0 1 4 5 7],[0 1 4 5 8],[0 1 4 6 8],[0 1 4 6 9],[0 1 4 7 8],[0 2 3 4 6],[0 2 3 4 7],[0 2 3 5 7],[0 2 3 5 8],[0 2 3 6 8],[0 2 4 5 8],[0 2 4 6 8],[0 2 4 6 9],[0 2 4 7 9],[0 3 4 5 8],[0 1 2 3 4 5],[0 1 2 3 4 6],[0 1 2 3 4 7],[0 1 2 3 4 8],[0 1 2 3 5 6],[0 1 2 3 5 7],[0 1 2 3 5 8],[0 1 2 3 6 7],[0 1 2 3 6 8],[0 1 2 3 6 9],[0 1 2 3 7 8],[0 1 2 4 5 6],[0 1 2 4 5 7],[0 1 2 4 5 8],[0 1 2 4 6 7],[0 1 2 4 6 8],[0 1 2 4 6 9],[0 1 2 4 7 8],[0 1 2 4 7 9],[0 1 2 5 6 7],[0 1 2 5 6 8],[0 1 2 5 6 9],[0 1 2 5 7 8],[0 1 2 5 7 9],[0 1 2 6 7 8],[0 1 3 4 5 7],[0 1 3 4 5 8],[0 1 3 4 6 7],[0 1 3 4 6 8],[0 1 3 4 6 9],[0 1 3 4 7 8],[0 1 3 4 7 9],[0 1 3 5 6 8],[0 1 3 5 6 9],[0 1 3 5 7 8],[0 1 3 5 7 9],[0 1 3 5 8 9],[0 1 3 6 7 9],[0 1 3 6 8 9],[0 1 4 5 6 8],[0 1 4 5 8 9],[0 1 4 6 7 9],[0 2 3 4 5 7],[0 2 3 4 5 8],[0 2 3 4 6 8],[0 2 3 4 6 9],[0 2 3 5 6 8],[0 2 3 5 7 9],[0 2 4 5 7 9],[0 2 4 6 8 10],[0 1 2 3 4 5 6],[0 1 2 3 4 5 7],[0 1 2 3 4 5 8],[0 1 2 3 4 6 7],[0 1 2 3 4 6 8],[0 1 2 3 4 6 9],[0 1 2 3 4 7 8],[0 1 2 3 4 7 9],[0 1 2 3 5 6 7],[0 1 2 3 5 6 8],[0 1 2 3 5 6 9],[0 1 2 3 5 7 8],[0 1 2 3 5 7 9],[0 1 2 3 5 8 9],[0 1 2 3 6 7 8],[0 1 2 3 6 7 9],[0 1 2 4 5 6 8],[0 1 2 4 5 6 9],[0 1 2 4 5 7 8],[0 1 2 4 5 7 9],[0 1 2 4 5 8 9],[0 1 2 4 6 7 8],[0 1 2 4 6 7 9],[0 1 2 4 6 8 9],[0 1 2 4 6 8 10],[0 1 2 4 7 8 9],[0 1 2 5 6 8 9],[0 1 3 4 5 6 8],[0 1 3 4 5 7 8],[0 1 3 4 5 7 9],[0 1 3 4 6 7 9],[0 1 3 4 6 8 9],[0 1 3 4 6 8 10],[0 1 3 5 6 7 9],[0 1 3 5 6 8 10],[0 2 3 4 5 6 8],[0 2 3 4 5 7 9],[0 2 3 4 6 7 9],[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 8],[0 1 2 3 4 5 6 9],[0 1 2 3 4 5 7 8],[0 1 2 3 4 5 7 9],[0 1 2 3 4 5 8 9],[0 1 2 3 4 6 7 8],[0 1 2 3 4 6 7 9],[0 1 2 3 4 6 8 9],[0 1 2 3 4 6 8 10],[0 1 2 3 4 7 8 9],[0 1 2 3 5 6 7 8],[0 1 2 3 5 6 7 9],[0 1 2 3 5 6 8 9],[0 1 2 3 5 6 8 10],[0 1 2 3 5 7 8 9],[0 1 2 3 5 7 8 10],[0 1 2 3 6 7 8 9],[0 1 2 4 5 6 7 9],[0 1 2 4 5 6 8 9],[0 1 2 4 5 6 8 10],[0 1 2 4 5 7 8 9],[0 1 2 4 5 7 8 10],[0 1 2 4 5 7 9 10],[0 1 2 4 6 7 8 10],[0 1 3 4 5 6 7 9],[0 1 3 4 5 6 8 9],[0 2 3 4 5 6 7 9],[0 1 2 3 4 5 6 7 9],[0 1 2 3 4 5 6 8 9],[0 1 2 3 4 5 6 8 10],[0 1 2 3 4 5 7 8 9],[0 1 2 3 4 5 7 8 10],[0 1 2 3 4 6 7 8 9],[0 1 2 3 4 6 7 8 10],[0 1 2 3 4 6 7 9 10],[0 1 2 3 5 6 7 8 10],[0 1 2 4 5 6 8 9 10],[0 1 2 3 4 5 6 7 8 9],[0 1 2 3 4 5 6 7 8 10],[0 1 2 3 4 5 6 7 9 10],[0 1 2 3 4 5 6 8 9 10],[0 1 2 3 4 5 7 8 9 10],[0 1 2 3 4 5 6 7 8 9 10],[0 1 2 3 4 5 6 7 8 9 10 11]
Op. 1,5.969945371467407,0.17188674815696586,0.2818124161449683,1.167812826448788,2.496406181859221,0.6691885074327184,0.3143953979579577,0,0.06165502923021601,0.2450320328346312,1.422264331619951,0.031646098336526124,0.3470786685158112,0.8300811005690035,1.150353626160539,0.2893028077913484,0.9148603450315413,10.870076188845218,4.517981669186418,0.010275838205036001,0.07584547246574191,0.11549097237797934,0.3524614766233183,0.06530725318393193,0.030827514615108007,0.3189988229120818,0.2908097799343648,0.9772538033201064,0.2189279677768851,0.40623813703908995,1.005277449863467,6.30526260271054,0.44589376092985444,0.5240269457554996,2.0882404954662284,0.032046681859773295,0,0.4166789040579497,1.7986241644123748,0.27976614533357586,0.3741691319086601,2.746303466027843,0.36239456069760295,4.3483209691565055,1.8069407424985016,1.2717830987467629,1.767712267425041,0.4546514672564666,0,0.09003591570126783,0.09839893553913262,0.45253723835424786,0.15332796158059778,0.27013896140431626,0.0780963703582736,0.29450931483847137,0.4058778154396925,0.0883722085633096,0.6299735384253714,0.15039599084191205,0.7293020491619934,0.03151257049544374,0.4880853765443667,2.2522005505005462,0.03259921085735559,0.40758689640868606,0.9336409754490692,0.1366063703196756,0.7612151961358163,0.5439332606527135,0.593081999610953,0.8821313938554247,3.7331492462429194,0.8540335027681107,1.8421805588044151,0.6227684365788229,0,0.2811375916186895,0.15183329420531982,0.6849684561153044,1.4636655303730577,1.188030323891115,1.9131562319455044,0.3480527639830965,0.21670167266011156,1.115072481849997,0,0,0,0.016299605428677796,0,0.08093001059057141,0.2662656061197099,0.14674875608049034,0.164247052006304,0.11079221919247909,0.13039684342942237,0.023634427871582805,0.07379920165434946,0.28743740245031835,0.0032882682256115204,0.41459537393770507,0.0441861042816548,0.26434479904195995,0.08220670564028801,0,0.4898772322473525,0.3169785563148783,0.2309080288267122,0.18508741909785087,0.04726885574316561,0.2703096130998899,0.2799507797838055,0,0.21239668244180604,0.27822633031784605,0.840259462332096,0.164520173235953,0.22847753063759904,0.3766281098985779,0.023634427871582805,0.8955282220037435,0.47258915836975335,0.3651060406155751,0.10921970455807205,0.897476277178669,0.6197508550074403,0.020551676410072002,0,0.20711528702605617,0.26093926547192386,0,0.1455617155615104,0.20003275832618828,0,0.5623011067581531,0.023634427871582805,0,0.16659912496048568,0.023634427871582805,0.06352336344931347,0,0.11868370706076212,0.13505387355190177,0,0.04249521095127854,0.08594337407848292,0.0572955827189886,0.3345123245724269,0,0.08238709653040778,0,0.15868830142348453,0.03259921085735559,0,0.009864804676834562,0.4570543883452593,0,0.009864804676834562,0.1411215113491611,0.37939434897686336,0,0,0,0,0.08093001059057141,0.13505387355190174,0.13039684342942237,0.02695067024838771,0.15607661367736522,0.10640608219240741,0.055501846236406846,0.0635606623175713,0,0,0.005147243819582462,0,0.045017957850633915,0.020588975278329848,0,0,0,0.06519842171471119,0,0,0,0,0.04297168703924146,0.03973324105947254,0.05124217984911287,0.045017957850633915,0,0,0.014323895679747154,0.14293201617576265,0,0.011508938789640322,0,0.051415246597829256,0,0,0,0,0,0,0.017188674815696584,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 2,2.9017041378470156,0,0,3.995722735824788,9.46953802839777,1.2317437972901617,0.513226582204234,0,0,1.5473781453457656,1.6628541263417185,2.311352571998354,0.38491993665317553,1.618863276438498,3.258988796996886,0,2.5118775294738653,17.6726189670497,7.86900427275228,0,0.49489706141122564,0,0,0,0,1.9707900756642587,1.3956097131796563,1.7321397149392899,0,1.0491817701917985,0.9699982403660024,3.071661094492341,0.46190392398381064,1.00849023403132,2.7813214851310883,0,0,2.5140770719690257,0.6235702973781444,1.464895301777228,1.5803712827731808,2.655947562906911,0.46190392398381064,8.122910434629583,4.619293033202932,2.0557262550927833,2.454689424599679,0.49489706141122564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065932132270332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 3 i,30.645161290322587,0.9677419354838712,0.28673835125448033,1.3440860215053765,4.372759856630825,0,0,0,0.9677419354838712,2.347670250896058,1.612903225806452,0,0,0,8.02867383512545,0,0.2688172043010753,0.4121863799283154,0,0,0.5376344086021506,0,1.0752688172043012,0,1.0752688172043012,1.4336917562724016,0,0,0.3584229390681004,2.1505376344086025,0.3584229390681004,2.5089605734767026,1.4336917562724016,1.0752688172043012,0.7168458781362008,0,0,0,0,0.3584229390681004,0,0,0,4.301075268817205,2.8673835125448033,0,0,0,0,0,0,0,0,2.1505376344086025,0,1.792114695340502,0.7168458781362008,0,0,0,0,0,0,1.0752688172043012,0,0,0,2.1505376344086025,2.1505376344086025,0,2.1505376344086025,0.7168458781362008,0.3584229390681004,0,0,0,1.0752688172043012,0,2.1505376344086025,0,3.584229390681004,0,1.4336917562724016,2.1505376344086025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5376344086021506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1505376344086025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0752688172043012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0752688172043012,0,0,0,0,0,0,0,0,0,0,0,0
Op. 3 ii,11.548556430446192,3.993250843644544,7.536557930258719,6.452943382077242,9.227596550431194,5.474315710536184,1.1998500187476566,0.5249343832020997,4.724409448818898,8.136482939632545,0.8398950131233596,1.3123359580052496,3.4120734908136487,0.5249343832020997,3.6482939632545937,0.5249343832020998,1.6797900262467191,5.091863517060368,1.5748031496062995,0,2.0997375328083994,0,0,0,0.7874015748031498,0,0.7874015748031498,0.26246719160104987,1.3123359580052496,0.7874015748031498,2.099737532808399,0.5249343832020997,0,0.7874015748031498,0.7874015748031498,0,0,0.7874015748031498,1.3123359580052496,0,0.26246719160104987,0,0,0.7874015748031498,0.7874015748031498,0.5249343832020997,0,0,0,0,0,0.7874015748031498,0,0,0,0,0,0,0,0,0,0,0.7874015748031498,0,0,0,0,0,0,0,0,0.26246719160104987,0,0,0,0.7874015748031498,0,0,0,0,0,0,0.5249343832020997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.724409448818897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 3 iii,19.68973747016709,4.773269689737477,1.1933174224343692,2.8639618138424856,3.8186157517899812,4.057279236276854,3.579952267303107,0,0.47732696897374766,0,0,0,0.47732696897374766,0,0,0,0,0.47732696897374766,0,0,0,5.250596658711223,0,0,0.47732696897374766,0,1.9093078758949906,0,0.9546539379474953,0.9546539379474953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4319809069212428,0,0,0,0.47732696897374766,0.47732696897374766,0.9546539379474953,0.9546539379474953,0,3.341288782816234,0,0,0.47732696897374766,0,0,0,0.23866348448687383,2.3866348448687384,0.9546539379474953,0,0,0,0,0,0.47732696897374766,0,1.4319809069212428,0.7159904534606214,0.9546539379474953,0.9546539379474953,0,0,0,0,2.1479713603818644,0,0,0,0,0,0,0,0,0,0,9.307875894988078,0,0,0,0,0,2.1479713603818644,0,3.221957040572797,0,0,0,0,0,0,0,1.4319809069212428,0,0,0,0,1.4319809069212428,0,0,0,0,0,0.7159904534606214,0,1.0739856801909322,0,0,0,0,0,0,0,0,0,0,0,0,0.9546539379474953,0,0,0,0,0,0,1.4319809069212428,0,0,0,0,0,3.9379474940334176,1.7899761336515538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0739856801909322,0,0,0,2.1479713603818644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 3 iv,20.111731843575388,0.8379888268156414,0.8379888268156414,0.5586592178770943,0.27932960893854714,0.8379888268156414,1.3035381750465533,0,1.4897579143389181,1.95530726256983,0.27932960893854714,0.8379888268156414,2.234636871508377,0,0.18621973929236477,0,3.0726256983240186,4.469273743016753,0,0,0,2.234636871508377,0,0,0,0.7448789571694591,0,0,3.3519553072625654,1.4897579143389181,0.7448789571694591,1.3035381750465533,0.37243947858472953,0.7448789571694591,0.7448789571694591,0,0,1.4897579143389181,3.5381750465549313,0,0,0,0,0.37243947858472953,0,1.1173184357541885,0,0,0,1.6759776536312827,0,0,2.7932960893854717,4.469273743016754,0,1.8621973929236475,0,0,1.3035381750465533,1.1173184357541885,0.7448789571694591,0,0,0,0,1.8621973929236475,0,2.7932960893854717,0,0,0,2.234636871508377,0.9310986964618237,3.3519553072625654,3.165735567970201,0,0,2.234636871508377,1.4897579143389181,0,2.7932960893854717,2.7932960893854717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37243947858472953,0,1.1173184357541885,0,0,0,0,0,0,0,0,0,0,0.7448789571694591,0,0,0,0,0,0,0,1.4897579143389181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7448789571694591,0,0,0,0,0,0,0,0.37243947858472953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 3 v,6.521739130434782,1.0869565217391304,0,1.0869565217391304,2.1739130434782608,1.0869565217391304,0,0,2.1739130434782608,5.434782608695652,0,0,0,2.1739130434782608,2.5362318840579707,0,2.1739130434782608,0,1.0869565217391304,0,1.0869565217391304,0,0,1.0869565217391304,1.6304347826086956,1.0869565217391304,1.0869565217391304,1.8115942028985503,0,0,4.3478260869565215,1.0869565217391304,0,2.1739130434782608,1.0869565217391304,0,1.0869565217391304,4.7101449275362315,0,1.0869565217391304,0,0,1.0869565217391304,1.0869565217391304,0,1.0869565217391304,0,0,0,0,0.7246376811594202,0,2.1739130434782608,1.0869565217391304,0,5.797101449275361,0,0,0,0,0,3.804347826086957,4.3478260869565215,1.0869565217391304,0,0,0,0,0,0,10.869565217391305,1.0869565217391304,0,0,0,0,0,0,0,0,1.4492753623188404,0,1.8115942028985503,0,1.0869565217391304,1.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1739130434782608,0,0,0.5434782608695652,0,1.6304347826086956,0,0.5434782608695652,0,0,0,0,0,0,0,0,0,0,0.7246376811594202,1.0869565217391304,0,1.0869565217391304,0,0,0,0,0,0,1.0869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 4 i,8.530405405405423,0.8445945945945958,1.4358108108108132,0.8445945945945958,2.0270270270270307,1.9425675675675709,0.7601351351351365,0,0.42229729729729804,0.25337837837837884,0.33783783783783844,0.08445945945945961,0.16891891891891922,0.6756756756756769,0.7601351351351365,0,1.0135135135135154,1.266891891891894,0,0,0.5067567567567577,0,0,0,0,0.25337837837837884,0.33783783783783844,0.6756756756756769,0.5067567567567577,0,0.7601351351351364,0,0,0.16891891891891922,0.8445945945945961,0,0,1.520270270270273,0,0,0,0,0,0.6756756756756769,0.16891891891891922,0.6756756756756769,0.5067567567567577,0,0,0,0.25337837837837884,1.3513513513513538,0,0.33783783783783844,1.6891891891891917,0,0.5067567567567577,0,0.16891891891891922,2.0270270270270307,0,0,2.702702702702707,0,0,0.5912162162162172,0,0,1.604729729729732,0.16891891891891922,0.5067567567567577,2.1959459459459496,1.0135135135135154,1.0135135135135154,11.655405405405427,0,0,0.33783783783783844,0,0.5067567567567577,0.5067567567567577,1.097972972972975,0,0,0,0,0,1.0135135135135154,2.702702702702707,0,0,0.6756756756756769,0,3.716216216216223,0,0,0,0,0.5067567567567577,2.364864864864869,1.7736486486486518,2.19594594594595,0,0,0.8445945945945961,0,0.5067567567567577,1.0135135135135154,0.5067567567567577,0,0,0.33783783783783844,0.5067567567567577,0.8445945945945961,3.0405405405405457,0.5067567567567577,0,0.5067567567567577,0,0.5067567567567577,0,0,0,0.5067567567567577,0.5067567567567577,0,0,0,0,0,0.5067567567567577,0.33783783783783844,0,0.8445945945945961,0,0,0,0.16891891891891922,1.520270270270273,0.16891891891891922,0,3.040540540540546,0,1.6891891891891924,0.16891891891891922,0,1.8581081081081114,0,0,0,0,0,0.16891891891891922,0,0.5067567567567577,0,0,0.8445945945945961,0,0,0,0,0,0.16891891891891922,0,3.209459459459465,0,0.5067567567567577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 4 ii,19.336236672173005,6.066547958723962,0.47411666273357234,4.453264110870359,7.7377555617531595,3.3479930491493803,0.20080235127539534,0,0.602407053826186,3.018900306781371,1.5909724754896708,2.7674683028339744,0.9731190869499926,0.7877630703880892,1.2910561431360352,0.4183382318237403,0.40160470255079067,2.1333104498744984,0.5020058781884883,0,0,0,0,0,0,1.608993199322078,0,0,2.2740437217085367,1.255014695471221,2.3705833136678613,3.7435908437560346,3.561238281166199,0.8366764636474806,0.4183382318237403,0,0,1.255014695471221,0,0,0.27889215454916017,0,0,0.5577843090983203,0,0.4183382318237403,0,0,0,0,0,0.4183382318237403,0.602407053826186,0,0,0,1.0512088902237573,0,0,3.6406152789994213,0,0,0,0,0.6191405830991357,0,0,0.8366764636474806,0,0,0,0,0.27889215454916017,0,0.5577843090983203,0.8366764636474806,0.4183382318237403,0,0,0,0.4183382318237403,0.8366764636474806,0,0,0,0,0,0,0,0,0,0,0,4.427949284534358,0,0,7.156801750584603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5020058781884883,0,0,1.5446334713491947,0,0,0,0,0,0,0,0.8366764636474804,0.3346705854589922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 4 iii,23.18181818181818,5.053475935828878,3.3155080213903747,6.256684491978611,5.56149732620321,4.6524064171123,3.58288770053476,0.8021390374331552,0.8021390374331552,2.9411764705882355,0,1.3368983957219254,0,0,0,0,0,0,0.8021390374331552,0,0.26737967914438504,0,0.5347593582887701,0.8021390374331552,0,0,0,0,0,0,0,0.8021390374331552,0.8021390374331552,0,0,0,0,0,0.4010695187165776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5347593582887701,0,0,0.8021390374331552,0.4010695187165776,0.13368983957219252,2.1390374331550803,0,0,0,0,0,0.4010695187165776,0,0,0,0,0,0.5347593582887701,2.005347593582888,4.010695187165776,1.203208556149733,0.4010695187165776,0,0,0.4010695187165776,0,1.3368983957219254,0.8021390374331552,0,0.4010695187165776,0.4010695187165776,0,0,0,0,0,0,0,0,2.1390374331550803,0,0,0.4010695187165776,0,0,2.1390374331550803,0.8021390374331552,0,0,1.0695187165775402,0,0.26737967914438504,0,0,0,0,0,0,0.4010695187165776,0,0,0.4010695187165776,4.411764705882354,0,0,0,0,0.26737967914438504,1.8716577540106953,2.272727272727273,0,1.203208556149733,0.8021390374331552,0,0,0,0,0,0,0.4010695187165776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4010695187165776,0,0,0,0,0.9358288770053477,0.5347593582887701,0,0,0.26737967914438504,0,0.4010695187165776,0,0,0,0,0,0,0.8021390374331552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
