,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 3]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 4]","[0, 3, 5]","[0, 3, 6]","[0, 3, 7]","[0, 4, 5]","[0, 4, 6]","[0, 4, 7]","[0, 4, 8]","[0, 5, 6]"
Op. 1,3.521012493915301,14.44101898426091,6.182054194385851,5.743955865649846,6.230731786467629,1.3791984423170534,1.1033587538536427,8.518578614311211,5.889988641895181,6.441668018822003,4.332305695278273,1.7199415868895018,5.208502352750284,5.581697225377251,0.7950673373357132,2.2391692357618043,0.8275190653902321,3.8779815025150093,1.2493915300989777,0.8437449294174915,4.218724647087457,3.050462437124777,2.628589972416031,0.48677592081778354,2.2391692357618043,1.2493915300989777
Op. 10 i,0.0,10.0,0.0,5.0,0.0,0.0,5.0,25.0,0.0,10.0,5.0,0.0,10.0,5.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Op. 10 ii,0.0,3.6363636363636362,3.6363636363636362,0.0,1.8181818181818181,0.0,0.0,10.909090909090908,3.6363636363636362,12.727272727272727,7.2727272727272725,5.454545454545454,10.909090909090908,1.8181818181818181,3.6363636363636362,3.6363636363636362,0.0,7.2727272727272725,0.0,5.454545454545454,7.2727272727272725,3.6363636363636362,0.0,0.0,1.8181818181818181,5.454545454545454
Op. 10 iii,74.27184466019418,16.990291262135923,0.48543689320388345,0.9708737864077669,0.48543689320388345,0.0,0.0,0.9708737864077669,0.0,0.9708737864077669,0.9708737864077669,0.48543689320388345,0.0,0.0,0.0,0.0,0.48543689320388345,1.4563106796116505,0.48543689320388345,0.0,0.0,0.0,0.48543689320388345,0.0,0.0,0.48543689320388345
Op. 10 iv,55.00000000000001,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,10.0
Op. 10 v,13.20754716981132,16.9811320754717,13.20754716981132,0.0,3.7735849056603774,1.8867924528301887,0.0,7.547169811320755,3.7735849056603774,3.7735849056603774,3.7735849056603774,0.0,5.660377358490567,0.0,3.7735849056603774,3.7735849056603774,0.0,3.7735849056603774,1.8867924528301887,0.0,0.0,1.8867924528301887,0.0,1.8867924528301887,0.0,9.433962264150944
Op. 11 i,0.0,0.0,0.0,0.0,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,12.5,12.5,8.333333333333332,4.166666666666666,0.0,0.0,0.0,4.166666666666666,4.166666666666666,8.333333333333332,0.0,4.166666666666666,4.166666666666666,4.166666666666666,0.0,0.0,4.166666666666666,8.333333333333332
Op. 11 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,9.090909090909092,0.0,9.090909090909092,0.0,18.181818181818183,9.090909090909092,0.0,9.090909090909092,0.0,9.090909090909092,0.0,0.0,0.0,18.181818181818183,9.090909090909092,0.0,0.0,0.0
Op. 11 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 12 i,0.0,0.0,8.75,6.25,8.75,1.25,3.75,3.75,10.0,2.5,6.25,2.5,2.5,2.5,3.75,6.25,3.75,2.5,2.5,2.5,1.25,2.5,7.5,1.25,3.75,3.75
Op. 12 ii,0.0,5.597014925373134,1.8656716417910446,1.1194029850746268,0.7462686567164178,0.3731343283582089,0.7462686567164178,15.671641791044777,7.835820895522389,7.835820895522389,4.850746268656716,8.582089552238806,4.104477611940299,2.6119402985074625,2.2388059701492535,2.9850746268656714,1.1194029850746268,5.597014925373134,1.1194029850746268,4.850746268656716,0.7462686567164178,3.3582089552238807,3.731343283582089,3.731343283582089,1.1194029850746268,7.462686567164178
